
=== TABLE 0 (1 rows x 4 cols) ===
  Row 0: ['119 | Total Variables | Across 5 groups', '54 | DPD Rules | 15/30/60/90 DPD variants', '51 | Loan Account Rules | Overdue, vintage, limits', '10 | Enquiry + Score Rules | Enquiry counts + score']

=== TABLE 1 (2 rows x 5 cols) ===
  Row 0: ['S.No', 'Variable Name', 'DB Column', 'Status Filter', 'Group']
  Row 1: ['1', 'Bureau Score', 'BUREAU_SCORE', 'NA', 'Bureau Score']

=== TABLE 2 (55 rows x 5 cols) ===
  Row 0: ['S.No', 'Variable Name', 'DB Column', 'Status Filter', 'Group']
  Row 1: ['2', 'No of >= 30 DPD in last 6 months', 'NO_30DPD_L6M', 'Active/Closed', 'DPD']
  Row 2: ['3', 'No of >= 30 DPD in last 12 months', 'NO_30DPD_L12M', 'Active/Closed', 'DPD']
  Row 3: ['4', 'No of >= 30 DPD in last 18 months', 'NO_30DPD_L18M', 'Active/Closed', 'DPD']
  Row 4: ['5', 'No of >= 60 DPD in last 6 months', 'NO_60DPD_L6M', 'Active/Closed', 'DPD']
  Row 5: ['6', 'No of >= 60 DPD in last 12 months', 'NO_60DPD_L12M', 'Active/Closed', 'DPD']
  Row 6: ['7', 'No of >= 60 DPD in last 18 months', 'NO_60DPD_L18M', 'Active/Closed', 'DPD']
  Row 7: ['8', 'No of >= 90 DPD in last 6 months', 'NO_90DPD_L6M', 'Active/Closed', 'DPD']
  Row 8: ['9', 'No of >= 90 DPD in last 12 months', 'NO_90DPD_L12M', 'Active/Closed', 'DPD']
  Row 9: ['10', 'No of >= 90 DPD in last 18 months', 'NO_90DPD_L18M', 'Active/Closed', 'DPD']
  Row 10: ['11', 'No of >= 30 DPD in Bureau History', 'NO_30DPD', 'Active/Closed', 'DPD']
  Row 11: ['12', 'No of >= 60 DPD in Bureau History', 'NO_60DPD', 'Active/Closed', 'DPD']
  Row 12: ['13', 'No of >= 90 DPD in Bureau History', 'NO_90DPD', 'Active/Closed', 'DPD']
  Row 13: ['14', 'No of Secured Loans >=30 DPD in last 6 months', 'NO_SEC_30DPD_L6M', 'Active/Closed', 'DPD']
  Row 14: ['15', 'No of Secured Loans >=60 DPD in last 6 months', 'NO_SEC_60DPD_L6M', 'Active/Closed', 'DPD']
  Row 15: ['16', 'No of Secured Loans >=90 DPD in last 6 months', 'NO_SEC_90DPD_L6M', 'Active/Closed', 'DPD']
  Row 16: ['17', 'No of Secured Loans >=30 DPD in last 12 months', 'NO_SEC_30DPD_L12M', 'Active/Closed', 'DPD']
  Row 17: ['18', 'No of Secured Loans >=60 DPD in last 12 months', 'NO_SEC_60DPD_L12M', 'Active/Closed', 'DPD']
  Row 18: ['19', 'No of Secured Loans >=90 DPD in last 12 months', 'NO_SEC_90DPD_L12M', 'Active/Closed', 'DPD']
  Row 19: ['20', 'No of Secured Loans >=30 DPD in last 18 months', 'NO_SEC_30DPD_L18M', 'Active/Closed', 'DPD']
  Row 20: ['21', 'No of Secured Loans >=60 DPD in last 18 months', 'NO_SEC_60DPD_L18M', 'Active/Closed', 'DPD']
  Row 21: ['22', 'No of Secured Loans >=90 DPD in last 18 months', 'NO_SEC_90DPD_L18M', 'Active/Closed', 'DPD']
  Row 22: ['23', 'No of UnSecured Loans >=30 DPD in last 6 months', 'NO_USEC_30DPD_L6M', 'Active/Closed', 'DPD']
  Row 23: ['24', 'No of UnSecured Loans >=60 DPD in last 6 months', 'NO_USEC_60DPD_L6M', 'Active/Closed', 'DPD']
  Row 24: ['25', 'No of UnSecured Loans >=90 DPD in last 6 months', 'NO_USEC_90DPD_L6M', 'Active/Closed', 'DPD']
  Row 25: ['26', 'No of UnSecured Loans >=30 DPD in last 12 months', 'NO_USEC_30DPD_L12M', 'Active/Closed', 'DPD']
  Row 26: ['27', 'No of UnSecured Loans >=60 DPD in last 12 months', 'NO_USEC_60DPD_L12M', 'Active/Closed', 'DPD']
  Row 27: ['28', 'No of UnSecured Loans >=90 DPD in last 12 months', 'NO_USEC_90DPD_L12M', 'Active/Closed', 'DPD']
  Row 28: ['29', 'No of UnSecured Loans >=30 DPD in last 18 months', 'NO_USEC_30DPD_L18M', 'Active/Closed', 'DPD']
  Row 29: ['30', 'No of UnSecured Loans >=60 DPD in last 18 months', 'NO_USEC_60DPD_L18M', 'Active/Closed', 'DPD']
  Row 30: ['31', 'No of UnSecured Loans >=90 DPD in last 18 months', 'NO_USEC_90DPD_L18M', 'Active/Closed', 'DPD']
  Row 31: ['32', 'No of Secured Tradelines have >= 90 DPD', 'NO_SEC_90DPD', 'Active/Closed', 'DPD']
  Row 32: ['33', 'No of Unsecured Tradelines have >= 90 DPD', 'NO_USEC_90DPD', 'Active/Closed', 'DPD']
  Row 33: ['34', 'No of >= 15 DPD in last 6 months', 'NO_15DPD_L6M', 'Active/Closed', 'DPD']
  Row 34: ['35', 'No of >= 15 DPD in last 12 months', 'NO_15DPD_L12M', 'Active/Closed', 'DPD']
  Row 35: ['36', 'No of >= 15 DPD in last 18 months', 'NO_15DPD_L18M', 'Active/Closed', 'DPD']
  Row 36: ['37', 'Maximum DPD in last 12 months', 'MAX_DPD_L12M', 'Active/Closed', 'DPD']
  Row 37: ['38', 'Maximum DPD in last 6 months', 'MAX_DPD_L6M', 'Active/Closed', 'DPD']
  Row 38: ['39', 'Maximum DPD in last 3 months', 'MAX_DPD_L3M', 'Active/Closed', 'DPD']
  Row 39: ['40', 'Tradeline level >= 30 DPD in last 24 months', 'TRD_30DPD_L24M', 'Active/Closed', 'DPD']
  Row 40: ['41', 'Tradeline level >= 60 DPD in last 24 months', 'TRD_60DPD_L24M', 'Active/Closed', 'DPD']
  Row 41: ['42', 'Percentage of facilities with DPD >= 30 in last 24 months', 'PRCT_30DPD_L24M', 'Active/Closed', 'DPD']
  Row 42: ['43', 'Percentage of facilities with DPD >= 60 in last 24 months', 'PRCT_60DPD_L24M', 'Active/Closed', 'DPD']
  Row 43: ['81', 'No of > 0 DPD in last 6 months', 'NO_DPD_L6M', 'Active/Closed', 'DPD']
  Row 44: ['82', 'No of > 0 DPD in last 12 months', 'NO_DPD_L12M', 'Active/Closed', 'DPD']
  Row 45: ['83', 'No of > 0 DPD in last 18 months', 'NO_DPD_L18M', 'Active/Closed', 'DPD']
  Row 46: ['84', 'No of > 0 DPD in last 24 months', 'NO_DPD_L24M', 'Active/Closed', 'DPD']
  Row 47: ['85', 'No of >= 30 DPD in last 24 months', 'NO_30DPD_L24M', 'Active/Closed', 'DPD']
